"ADDRESS_ID","ADDRESS","VALUE","LAST_TX","TX_ID"
"384","1MNHWu6JeCrtFyjEPcR6bJSrfQ3kJ3Hyin","50","vout","197"
"385","coinbase","-1","04ffff001d0111","195"
"386","1H4Urq49poTRfszssMDT12dMnoDxSBEs7e","50","vout","195"
"387","coinbase","-1","04ffff001d010b","200"
"388","1EPeRrfFgn8Dm7mbfaFHUNUpD5UnKkeSNQ","50","vout","200"
"389","coinbase","-1","04ffff001d0129","190"
"390","1Fr947YZyEWZd2JPcvDJbsYN6Po5gXRyau","50","vout","190"
"391","12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S","30","a16f3ce4dd5deb92d98ef5cf8afeaf0775ebca408f708b2146c4fb42b41e14be","191"
"392","1LzBzVqEeuQyjD2mRWHes3dgWrT9titxvq","1","vout","191"
"393","12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S","29","vout","191"
"394","coinbase","-1","04ffff001d012a","192"
"395","1642o19pahkkdwHuPSx6uxk9HMmC243Bu7","50","vout","192"
"396","12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S","29","591e91f809d716912ca1d4a9295e70c3e78bab077683f79350f101da64588073","193"
"397","13HtsYzne8xVPdGDnmJX8gHgBZerAfJGEf","1","vout","193"
"398","12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S","28","vout","193"
"399","coinbase","-1","04ffff001d0128","201"
"400","1JSW4QekxPokWWU4hcRwrheZbZKSkFz9oc","50","vout","201"
